compra_renta,tipo,precio,superficie,municipio
Venta,CASA EN VENTA EN CARRETERA NACIONAL EN LA JOYA A ESTRENAR,"$12,000,000",294 m²,La Joya Privada Residencial
Venta,DEPARTAMENTO EN VENTA MONTERREY CENTRIKA TORRE ELITE AMUEBLADO,"$2,500,000",74 m²,Centrika
Venta,CASA EN VENTA EN APODACA EN ARBOLEDAS DE SANTA ROSA 3 RECAMARAS,"$1,500,000",90 m²,N.L.
Venta,CASA EN VENTA EN JUAREZ EN PORTAL DE VAQUERIAS 3 NIVELES,"$1,200,000",91 m²,Col. Portal de Vaquerías
Venta,CASA EN RENTA EN CARRETERA NACIONAL EN VALLE DE CRISTAL EN MONTERREY CON ALBERCA,"$54,000",1 m²,Las Jaras
Venta,CASA EN VENTA EN JUAREZ MIRADOR DE SAN ANTONIO 3 RECAMARAS,"$450,000",98 m²,mirador de san antonio
Venta,CASA EN VENTA EN MONTERREY RESIDENCIAL FLORIDA 5 RECAMARAS,"$5,000,000",200 m²,Residencial La Florida
Venta,CASA EN VENTA EN MONTERREY BARRIO ESTRELLA 3 NIVELES Y EQUIPADA,"$1,895,000",90 m²,Barrio Estrella
Venta,DEPARTAMENTO EN VENTA EN PESQUERIA EN SANTA MARIA2 RECAMARAS,"$380,000",87 m²,N.L.
Venta,CASA EN VENTA EN APODACA EBANOS 8 SECTOR FRENTE A PARQUE,"$1,350,000",90 m²,Los Ebanos
Venta,CASA EN VENTA EN MONTERREY CARRETERA NACIONAL LA JOYA PRIVADA RESIDENCIAL,"$21,500,000",424 m²,La Joya Privada Residencial
Venta,CASA EN VENTA EN SAN NICOLAS VALLE DEL MEZQUITAL 5 RECAMARAS,"$1,350,000",105 m²,Valle del Mezquital
Venta,CASA EN VENTA EN GUADALUPE EN VALLE DE CONTRY OPORTUNIDAD,"$4,320,000",134 m²,Valle del Contry 2o Sector
Venta,CASA EN VENTA EN JUAREZ ZONA CENTRO 4 RECAMARAS,"$950,000",1 m²,Centro de Benito Juárez
