compra_renta,tipo,precio,superficie,municipio,recamaras,banios,publicado,sitio
Venta,DEPARTAMENTO VENTA BALCONES DE SATELITE ZONA SUR EN MONTERREY,"$6,900,000",,Predio Residencial Satélite Regiomontano,2,2
Venta,DEPARTAMENTO PREVENTA EN LIVITA LOMAS DE SAN FRANCISCO MONTERREY,"$4,782,888",,Lomas de San Francisco,2,
Venta,DEPARTAMENTO VENTA EN TORRE MUN SAN PEDRO GARZA GARCIA CERCA DE MORONES,"$4,200,000",,Zona Loma Blanca,2,2
Venta,Departamento en venta a 5 minutos del Centro de Monterrey,"$2,350,000",83 m²,Independencia,3,1
Venta,"Departamento Nuevo Listo Para Estrenar en Valle Pte, Torre Cian","$5,900,000",,Sin Nombre de Col 25,2,2
Venta,DEPARTAMENTO EN VENTA SIKARA por paseo de los leones CUMBRES MADEIRA MONTERREY,"$4,124,800",,Cumbres Madeira,3,2
Venta,DEPARTAMENTO EN VENTA SIKARA por paseo de los leones CUMBRES MADEIRA MONTERREY,"$3,286,965",,Cumbres Madeira,2,2
Venta,DEPARTAMENTO EN VENTA pet friendly por adolfo lopez mateos LIVING SAN NICOLAS,"$3,200,000",,San Nicolás de los Garza,2,2
Venta,RESIDENCIAS EN VENTA EN VALLE PONIENTE,"$13,920,000",,Protexa Industrial,6+,
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México.",1-2,
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L",1-3,
Venta,Departamento - Del Valle Oriente,"$13,330,000",,Santa Fe,2,2
Venta,Departamento - Cumbres 4to Sector,"$2,850,000",,Monterrey,3,3
Venta,Departamento centrika victoria en venta - centro de monterrey,"$1,800,000",,Centrika,3,2
Venta,PENTHOUSE EN VENTA EN VALLE PONIENTE,"$13,920,000",,Protexa Industrial,6+,
Venta,DEPARTAMENTOS EN VENTA EN VALLE PONIENTE,"$8,390,000",,Protexa Industrial,6+,
Venta,DEPARTAMENTOS EN VENTA EN VALLE PONIENTE,"$7,710,000",,Protexa Industrial,6+,
Venta,DEPARTAMENTO EN VENTA EN VISTA HERMOSA MONTERREY,"$5,200,000",,Sin Nombre de Col 31,2,2
Venta,DEPARTAMENTO EN VENTA EN CENTRO MONTERREY,"$4,145,000",,Centro,3,2
Venta,DEPARTAMENTO EN VENTA EN CENTRO MONTERREY,"$3,425,000",,Centro,2,2
Venta,PENTHOUSE EN VENTA EN VALLE PONIENTE,"$18,300,000",,Protexa Industrial,6+,
Venta,DEPARTAMENTO EN VENTA EN SANTA MARIA JUNTO A SAN PEDRO GG,"$4,625,000",,Monterrey,2,2
Venta,DEPARTAMENTO EN VENTA EN OBISPADO,"$4,250,000",,Obispado,6+,
Venta,DEPARTAMENTO EN VENTA EN VISTA HERMOSA MONTERREY,"$7,150,000",,Sin Nombre de Col 31,3,2
Venta,"PRO5413 Departamentos en Venta, Centro en Monterrey","$3,243,349",55 m²,Centro,2,1
Venta,DEPARTAMENTO EN VENTA EN TORRE ARCANGELES NL,"$8,900,000",,Villas de Aragón,3,3
Venta,VENTA de DEPARTAMENTOS en SAN PEDRO GARZA GARCIA NUEVO LEON,"$6,700,000",46 m²,Zona Campestre,1,1
Venta,Departamentos en VENTA zona Centro,"$2,800,000",5000 m²,Centrika,2,2
Venta,"DEPARTAMENTO 3 RECAMARAS EN PREVENTA Y EN ENTREGA INMEDIATA, LLAVE EN MANO","$14,500,000",,Valle del Campestre,3,3
Venta,"DEPARTAMENTO 2 RECAMARAS EN PREVENTA Y EN ENTREGA INMEDIATA, LLAVE EN MANO","$12,100,000",,Valle del Campestre,2,3
Venta,Valle Ote Departamento en Venta Las Vistas 2 a 3 Recamaras,"$11,700,000",,Zona Loma Larga Oriente,3,3
Venta,"PRO5452 Departamentos en Venta, Torre Tule en Santa Catarina","$5,480,000",,Santa Catarina,2,2
Venta,"PRO5468 Departamentos en Venta, Contry en Monterrey","$1,965,000",34 m²,Contry,1,1
Venta,DEPARTAMENTO EN VENTA EN PESQUERIA NL ZONA VALLE DE SANTA MARIA / PLANTA BAJA /,"$360,000",90 m²,N.L.,2,1
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L",1-3,
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México.",1-2,
Venta,PENTHOUSE EN VENTA EN VALLE PONIENTE,"$18,300,000",,Protexa Industrial,6+,
Venta,Departamentos amplios en Santa Catarina Nuevo León,"$2,600,000",,Bosques del Poniente 4to Sector,1,1
Venta,RZ VENTA DE DEPARTAMENTO EN MONTERREYMO,"$3,190,000",72 m²,Centro,2,2
Venta,DEPARTAMENTO EN VENTA EN SAN PEDRO GARZA GARCIA NL ZONA VALLE ORIENTE SUR/TORRE ATRIA/68 M2/EQUIPADO,"$5,800,000",,Residencial Santa Barbara,1,1
