compra_renta,tipo,precio,superficie,municipio
Venta,"Departamentos en Venta en ARIA en Monterrey, Nuevo León","$1,928,863",38-76 m²,"Centro, Calzada Madero, Esq. con Emilio Carranza, Centro, 64000 Monterrey, N.L"
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah."
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila"
Venta,Casa - Lomas Del Valle,"$30,900,000",500 m²,Del Valle
Venta,"Estrena Casa Nueva de 4 Niveles en Cumbres Élite Premier, García","$4,686,500",145 m²,N.L.
Venta,Casa - Villa del Río,"$5,500,000",200 m²,Villa del Río
Venta,Casa en VENTA Col PRIVADA COLONIAL EN LA LINDA VISTA GUADALUPE NL,"$5,200,000",269 m²,Linda Vista
Venta,Casa en Venta Col Cumbres Quinta Real Monterrey NL,"$3,700,000",220 m²,"Valle de Las Cumbres, 1er Sector"
Venta,Casa en Venta Radica Premier Apodaca Nuevo Leon,"$2,490,000",105 m²,N.L.
Venta,Casa en VENTA Col VALLE DE LINCOLN SECTOR ELITE GARCIA NL,"$1,500,000",137 m²,Valle de Lincoln
Venta,Casa en Venta Col Encomienda Escobedo NL,"$5,890,000",136 m²,N.L.
Venta,CASA EN VENTA COLINAS DE ANAHUAC 2 ESCOBEDO NL,"$2,100,000",120 m²,Cd Gral Escobedo
Venta,Casa en VENTA Col Buenos Aires Monterrey NL,"$6,900,000",255 m²,Buenos Aires
Venta,Casa en VENTA Col Real de Cumbres Monterrey Nuevo Leon,"$2,050,000",105 m²,Real Cumbres
Venta,Casa en Venta Col Vistas del Rio Juarez Nuevo Leon,"$530,000",90 m²,Vistas del Rio
Venta,Casa en Venta Col Almendros Residencial Guadalupe Nuevo Leon,"$1,950,000",120 m²,Residencial Las Quintas
Venta,Casa en Venta Col LOS CANDILES APODACA Nuevo Leon,"$890,000",90 m²,Bosques de San Miguel
Venta,VENTA de CASA en CAROLCO Carretera Nacional MONTERREY NUEVO LEON,"$7,700,000",284 m²,La Bola
Venta,VENTA de CASA en LAGOS del VERGEL Carretera Nacional Monterrey NL,"$15,500,000",303 m²,Lagos del Vergel
Venta,VENTA de CASA en BARRIO TAMPIQUITO SAN PEDRO GARZA GARCIA NL,"$7,300,000",110 m²,Zona Tampiquito
Venta,VENTA de CASA Nueva 4 Recamaras en Sierra Alta Carretera Nacional Monterrey NL,"$23,500,000",645 m²,Rincon del Valle Alto
Venta,Departamento en preventa Montevo,"$3,155,326",,Ampliación Valle del Mirador
Venta,Departamento en venta a 5 minutos del Centro de Monterrey,"$2,350,000",83 m²,Independencia
Venta,CASA EN VENTA,"$1,600,000",100 m²,Barrio San Pedro
Venta,CASA EN VENTA APODACA TRIANA,"$1,650,000",163 m²,Triana
Venta,RESIDENCIAL PRIVADA LAS PLAZAS (Guadalupe NL.  av. camino las escobas),"$1,985,000",105 m²,N.L.
Venta,"Departamentos en Preventa en Vía Cuatro Seis, Monterrey, Nuevo León","$1,980,000",50-90 m²,"Guadalupe, Miguel Alemán 4450, Guadalupe, Nuevo León, México."
