compra_renta,tipo,precio,superficie,municipio,recamaras,banios,publicado,sitio
Venta,CASA EN VENTA EN SAN PEDRO GARZA GARCIA EN LA CIMA TRES NIVELES EN PRIVADA,"$32,500,000",400 m²,La Cima 1er Sector,3,4+
Venta,"Casa en Venta en Cumbres Santoral Amplia y Acogedora, García","$4,050,000",170 m²,N.L.,3,3
Venta,"Casa en Venta Cumbres Elite Premier Nueva, de Lujo, Equipada en Garcia","$5,100,000",144 m²,N.L.,4,4+
Venta,Hermosa Casa en Venta en Cumbres Santoral en García,"$4,050,000",170 m²,N.L.,3,3
Venta,"Venta de Casa en Carretera Nacional, Sierra Alta","$22,000,000",645 m²,Monterrey,6+,4+
Venta,"Estrena Casa Nueva de 4 Niveles en Cumbres Élite Premier, García","$4,686,500",145 m²,N.L.,3,4+
Venta,"Amplia Casa Venta en Cumbres Élite Premier, García, NL","$6,500,000",147 m²,N.L.,3,4+
Venta,Casa Nueva Equipada Venta en Cumbres Élite Premier Everest Monterrey,"$7,250,000",167 m²,Monterrey,3,4+
Venta,"Estrena Residencia en Preventa en Cumbres Santoral, García, Nuevo León","$4,000,000",162 m²,N.L.,4,4+
Venta,"Estrena Casa Amplia Cumbres Santoral, García","$4,350,000",171 m²,N.L.,3,4+
Venta,"Super Oportunidad Casa en Venta en Cumbres Élite Premier, García","$5,100,000",145 m²,N.L.,3,4+
Venta,Residencia de Lujo en Venta Cumbres Elite Premier Garcia,"$4,500,000",144 m²,N.L.,3,4+
Venta,"Amplisima Casa Venta Cumbres Élite Premier Sector Everest, Monterrey","$7,484,100",167 m²,Monterrey,3,4+
Venta,"Casa en Venta muy amplia en Santoral Equipada , García","$4,200,000",152 m²,N.L.,3,4+
Venta,"Espectacula Casa Venta Cumbres Élite Premier Sector Everest, Monterrey","$7,998,000",167 m²,Monterrey,3,4+
Venta,"Casa en Venta en Cumbres Élite Premier, García","$4,950,000",144 m²,N.L.,3,3
Venta,Estrena Casa Venta en Cumbres Élite Premier con Sótano en García,"$4,850,000",144 m²,N.L.,3,3
Venta,"Estrena Casa en Venta Carretera Nacional en Carolco, Monterrey","$10,100,000",305 m²,Monterrey,3,4+
Venta,Fabulosa Casa Venta Loma Bonita Carretera Nacional en Monterrey,"$13,990,000",376 m²,Monterrey,3,4+
Venta,"Casa de diseño única en Cumbres Élite Premier, García","$6,500,000",144 m²,N.L.,3,4+
Venta,Casa en VENTA Balcones de Santo Domingo,"$1,890,000",90 m²,Balcones de Santo Domingo,3,1
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila",3,
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah.",2-3,
Venta,"CARRETERA NACIONAL CASA EN VENTA CLUB DE GOLF LA HERRADURA,  MONTERREY","$21,850,000",578 m²,Sin Nombre de Col 51,3,4+
Venta,"CASA EN VENTA EN MONTEMORELOS, N.L.","$1,180,000",112 m²,Zaragoza,2,1
Venta,Venta Casa y Terreno Lomas del Poniente,"$3,950,000",255 m²,Lomas del Poniente,4,2
Venta,"Casa en Venta Pedregal de San Agustín Escobedo, Nuevo León","$1,890,000",,Pedregal de San Agustin,3,3
Venta,Casa en Venta Cumbres San Agustín en equina con alberca!!,"$6,550,000",223 m²,Monterrey,3,3
Venta,Casa en venta Murano Residencial Garcia N.L,"$2,650,000",126 m²,N.L.,3,2
Venta,"Casa en Venta Misión de los Angeles, Apodaca","$2,399,250",122 m²,N.L.,3,3
Venta,"Espectacular Casa en Venta en Santoral, García","$4,399,000",170 m²,N.L.,3,4+
Venta,"Casa en Venta, Noria Sur, Apodaca","$1,600,000",105 m²,Cañada Blanca,3,2
Venta,"Casa en Esquina en Venta , Mitras Poniente, Garcia","$2,500,000",136 m²,N.L.,3,3
Venta,"ESTRENA CASA EN HERMOSA PRIVADA CON AMENIDADES, DOMINIO CUMBRES","$2,413,000",119 m²,N.L.,3,3
Venta,Casa en venta Cumbres San Agustín Monterrey,"$2,800,000",156 m²,Cumbres San Agustín,3,3
Venta,Casa en venta Porto cumbres Venecia,"$3,950,000",152 m²,Sin Nombre de Col 15,3,4+
Venta,Residencia en Preventa Colonial San Agustín San Pedro Garza Garcia,"$42,500,000",557 m²,Jardines de San Agustín 1er Sector,4,4+
Venta,Casa en venta Valle de las Palmas Apodaca,"$2,435,000",90 m²,Cd Apodaca,3,2
Venta,"Casa En Venta Cumbres Elite Premier en García, Nuevo León","$4,300,000",144 m²,N.L.,3,4+
Venta,"Casa en Venta Carretera Nacional en Montealban Residencial, Monterrey","$9,108,710",331 m²,Monterrey,3,4+
Venta,Casa en venta Valle de Lincoln 2 sector Garcia,"$700,000",119 m²,Valle de Lincoln,2,1
Venta,Casa en venta Cumbre Provenza Garcia,"$2,400,000",112 m²,Dominio Cumbres,3,3
Venta,"Casa Muy Amplia en Venta Santoral, García","$4,500,000",152 m²,N.L.,3,4+
Venta,Casa en venta Mitras Poniente Garcia,"$1,120,000",74 m²,Mitras Poniente,2,1
Venta,Casa en venta Britania Cumbres García,"$3,000,000",120 m²,N.L.,3,4+
Venta,Casa - Valle Alto,"$12,000,000",,Valle Alto,3,
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah.",2-3,
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila",3,
Venta,"Amplisima Casa Venta Cumbres Élite Premier Sector Everest, Monterrey","$7,484,100",167 m²,Monterrey,3,4+
Venta,Casa - Valle Alto,"$12,000,000",,Valle Alto,3,
Venta,CASA EN VENTA EN SAN PEDRO GARZA EN FUENTES DEL VALLE NUEVA Y EQUIPADA,"$31,800,000",480 m²,Fuentes del Valle,4,4+
Venta,CASA EN VENTA FRESNOS APODACA,"$910,000",105 m²,Fresnos IV,3,1
Venta,Cerradas de Santa Rosa,"$2,500,000",117 m²,Cd Apodaca,3,2
Venta,Casa en venta en Jardines de Andalucia,"$1,950,000",105 m²,Jardines de Andalucía,4,3
Venta,Casa en Santa Catarina,"$2,500,000",615 m²,Provivienda del Poniente 2do Sector,3,3
Venta,CASA EN SAN  NICOLAS,"$2,500,000",,Centro,3,1
Venta,CASA DE VENTA EN SOL RESIDENCIAL (JUÁREZ),"$1,870,000",105 m²,Paseo del Prado,3,2
Venta,"Casa en Venta en La Joya, Monterrey","$21,500,000",424 m²,Sin Nombre de Col 51,4,4+
Venta,CASA EN VENTA CORRAL DE PIEDRA SAN NICOLÁS,"$1,400,000",102 m²,Antiguo Corral de Piedra 1er Sector,2,1
Venta,CASA EN VENTA MONTERREY CENTRO,"$2,100,000",138 m²,Centro,6+,
Venta,Casa en Barrio San Carlos,"$1,000,000",,Barrio San Carlos,2,1
Venta,Casa en Pablo de la Garza,"$6,350,000",492 m²,Pablo A. de La Garza,5,3
Venta,Casa en Pre Venta en Bosque de San Pedro,"$4,900,000",200 m²,Bosques de San Pedro,3,4+
Venta,CASA EN LOS CEDROS MTY,"$6,500,000",360 m²,Los Cedros,6+,3
Venta,Casa en Venta en el Centro de Monterrey,"$2,100,000",179 m²,Centro,3,2
Venta,Casa en Venta en el centro de Monterrey,"$2,100,000",133 m²,Centro,2,1
Venta,"Venta de Casa en La Rioja, Carretera Nacional","$8,500,000",312 m²,El Realito,3,4+
Venta,Casa Cumbres 2do sector,"$7,900,000",400 m²,Cumbres Elite 2do. Sector,6+,
Venta,Casa en Residencial Los Robles,"$1,500,000",70 m²,Residencial Los Robles,3,1
Venta,HERMOSA CASA EN SAN NICOLAS,"$3,650,000",250 m²,Casa Bella 1er Sector,3,4+
Venta,"Casa Proyecto en Venta en Santa Isabel, El Uro","$10,500,000",336 m²,Cerro de La Campaña,3,4+
Venta,"Casas en Venta en Rincón de Foret en Saltillo, Coahuila","$2,409,799",203-256 m²,"Eulalio Gutiérrez Treviño, Bosques de Chinón 114, Rincón de Foret, 25085 Saltillo, Coah.",2-3,
Venta,"Casas en Venta en Residencial Las Misiones, Saltillo, Coahuila","$3,280,000",210-230 m²,"Sin Nombre de Col 18, Blvd. La Misión S/N, Sin Nombre de Col 18, 25070 Saltillo, Coahuila",3,
Venta,Hermosa Casa en Contry la Silla,"$15,500,000",452 m²,Contry La Silla 1er Sector,5,4+
